Round ID,Date,Course,Tee,Total Score,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18,Holes Recorded,Sum of Holes,Total vs Hole-Sum Diff
1,2024-06-16,Mowsbury,Yellow,112,7.0,8.0,7.0,7.0,5.0,7.0,6.0,7.0,4.0,6.0,4.0,6.0,6.0,7.0,6.0,5.0,7.0,7.0,18,112.0,0.0
2,2024-06-21,Wyboston,Yellow,102,7.0,4.0,5.0,5.0,3.0,6.0,7.0,3.0,5.0,5.0,8.0,8.0,4.0,8.0,8.0,5.0,6.0,5.0,18,102.0,0.0
3,2024-06-28,Wyboston,Yellow,102,6.0,6.0,3.0,5.0,4.0,8.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,9.0,7.0,4.0,7.0,7.0,18,102.0,0.0
4,2024-07-12,Wyboston,Yellow,100,6.0,4.0,6.0,7.0,2.0,4.0,4.0,5.0,7.0,7.0,9.0,6.0,3.0,6.0,6.0,5.0,8.0,5.0,18,100.0,0.0
5,2024-07-27,Wyboston,Yellow,104,10.0,5.0,4.0,6.0,3.0,4.0,4.0,6.0,9.0,5.0,7.0,5.0,3.0,7.0,7.0,5.0,6.0,8.0,18,104.0,0.0
6,2024-07-28,Wyboston,Yellow,101,10.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,7.0,7.0,4.0,7.0,7.0,18,101.0,0.0
7,2024-08-04,Mowsbury,Yellow,102,5.0,6.0,5.0,5.0,4.0,7.0,7.0,6.0,5.0,10.0,4.0,5.0,5.0,5.0,7.0,5.0,4.0,7.0,18,102.0,0.0
8,2024-08-10,Menzies,Yellow,96,6.0,7.0,4.0,5.0,3.0,6.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,18,96.0,0.0
9,2024-08-25,Colmworth,Yellow,103,4.0,8.0,7.0,6.0,4.0,5.0,7.0,7.0,4.0,6.0,3.0,7.0,7.0,7.0,5.0,4.0,3.0,9.0,18,103.0,0.0
10,2024-08-30,Ufford Park,Yellow,116,5.0,8.0,5.0,5.0,8.0,6.0,6.0,7.0,7.0,4.0,6.0,5.0,5.0,10.0,10.0,7.0,6.0,6.0,18,116.0,0.0
11,2024-09-08,CCC,Pre April 26 - Yellow,97,3.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,8.0,5.0,4.0,4.0,7.0,4.0,3.0,6.0,9.0,8.0,18,97.0,0.0
12,2024-09-14,Mowsbury,Yellow,94,5.0,6.0,5.0,4.0,3.0,8.0,4.0,8.0,4.0,6.0,4.0,5.0,7.0,5.0,6.0,4.0,5.0,5.0,18,94.0,0.0
13,2024-09-21,Wyboston,Yellow,95,5.0,4.0,6.0,5.0,4.0,5.0,3.0,5.0,5.0,6.0,5.0,9.0,4.0,5.0,6.0,6.0,7.0,5.0,18,95.0,0.0
14,2024-09-28,CCC,Pre April 26 - Yellow,98,5.0,5.0,7.0,3.0,6.0,7.0,5.0,5.0,6.0,8.0,4.0,5.0,7.0,5.0,3.0,5.0,7.0,5.0,18,98.0,0.0
15,2024-10-05,Mowsbury,Yellow,93,8.0,5.0,6.0,5.0,3.0,5.0,5.0,6.0,2.0,7.0,4.0,5.0,7.0,5.0,7.0,5.0,4.0,4.0,18,93.0,0.0
16,2024-10-13,CCC,Pre April 26 - Yellow,107,5.0,6.0,6.0,4.0,4.0,7.0,8.0,7.0,6.0,7.0,5.0,5.0,9.0,6.0,5.0,5.0,5.0,7.0,18,107.0,0.0
17,2024-10-20,CCC,Pre April 26 - Yellow,101,5.0,5.0,5.0,4.0,10.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,7.0,7.0,4.0,6.0,9.0,,17,101.0,0.0
18,2024-11-01,CCC,Pre April 26 - Yellow,100,5.0,6.0,5.0,3.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,7.0,5.0,5.0,9.0,7.0,7.0,18,100.0,0.0
19,2024-11-09,CCC,Pre April 26 - Yellow,95,4.0,5.0,5.0,4.0,7.0,6.0,4.0,6.0,6.0,5.0,6.0,4.0,8.0,5.0,4.0,6.0,5.0,5.0,18,95.0,0.0
20,2024-11-13,CCC,Pre April 26 - Yellow,105,3.0,5.0,6.0,3.0,11.0,5.0,5.0,4.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,9.0,8.0,8.0,18,105.0,0.0
21,2024-11-19,Mowsbury,Yellow,102,6.0,8.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,8.0,4.0,6.0,6.0,5.0,7.0,5.0,3.0,4.0,18,102.0,0.0
